name,price
"Hot beef and onion",£7.45
"BBQ pulled pork",£7.45
"Hot and kicking chicken",£6.95
"Hot fish",£7.45
"Prawn",£6.95
"Roast ham",£5.95
"Roast beef",£5.95
"Tuna mayonnaise",£5.95
"Cheese with Ploughman's pickle",£5.95
