name,price
"Jacket with prawns",£7.95
"Jacket with chilli",£7.95
"Jacket with tuna mayonnaise",£6.95
"Jacket with Heinz baked beans",£6.95
"Jacket with cheese",£6.95
"Jacket with vegetarian chilli",£6.95
