name,price
"Creme brulee",£5.50
"Jam roly poly",£5.50
"Treacle sponge",£5.50
"Sticky toffee pudding",£5.50
"Bread & Butter pudding",£5.50
"Rice pudding",£5.50
"Spotted dick",£5.50
"Chocolate orange melt",£5.50
"Chef's choice of cheesecake",£5.50
"Chocolate profiterole",£5.50
