name,price
"Braised steak*",£12.95
"Barnsley chop*",£16.95
"Braised lamb shank",£15.45
"Chili con Carne*",£12.95
"Classic Meat Lasange",£12.95
"Pan fried breast of duck",£14.95
"Sweet and sour chicken or king prawns*",£12.95
"Gammon, egg and pineapple*",£12.95
"Steak in ale pie*",£12.95
"Twice cooked pork belly",£14.95
"Chicken, ham and leek pie",£12.95
"Chicken korma with naan bread",£12.95
